,classification,atmosphere,obj_energy,obj_bandwidth,obj_latency,field_size,number_of_nodes,physical_topology,sampling_rate,best_technique
115,Monitoring,Air,0.2,0.8,0.2,City,10,Star,50,DBST
116,Monitoring,Air,0.8,0.2,0.2,City,10,Star,50,DBST
117,Monitoring,Air,0.2,0.2,0.8,City,10,Star,100,DBST
118,Monitoring,Air,0.2,0.8,0.2,City,10,Star,100,DBST
119,Monitoring,Air,0.8,0.2,0.2,City,10,Star,100,DBST
120,Monitoring,Air,0.2,0.2,0.8,City,10,Star,10,DBST
121,Monitoring,Air,0.2,0.2,0.8,City,10,Star,10,DBST
122,Monitoring,Air,0.2,0.2,0.8,City,10,Star,10,DBST
123,Monitoring,Air,0.2,0.2,0.8,City,10,Star,10,DBST
124,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,10,Leach
125,Monitoring,Overground,0.2,0.8,0.2,Room,10,Star,10,Leach
126,Monitoring,Overground,0.8,0.2,0.2,Room,10,Star,10,Leach
127,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,50,Leach
128,Monitoring,Overground,0.2,0.8,0.2,Room,10,Star,50,Leach
129,Monitoring,Overground,0.8,0.2,0.2,Room,10,Star,50,Leach
130,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,100,Leach
131,Monitoring,Overground,0.2,0.8,0.2,Room,10,Star,100,Leach
132,Monitoring,Overground,0.8,0.2,0.2,Room,10,Star,100,Leach
133,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,10,Leach
134,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,10,Leach
135,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,10,Leach
136,Monitoring,Overground,0.2,0.2,0.8,Room,10,Star,10,Leach
137,Monitoring,Overground,0.2,0.2,0.8,Room,100,Mesh,10,Directed Diffusion
138,Monitoring,Overground,0.2,0.2,0.8,Room,100,Mesh,50,Directed Diffusion
139,Monitoring,Overground,0.2,0.2,0.8,Room,100,Mesh,100,Directed Diffusion
140,Monitoring,Overground,0.2,0.2,0.8,Room,100,Mesh,10,Directed Diffusion
141,Monitoring,Overground,0.2,0.2,0.8,Room,100,Mesh,10,Directed Diffusion
142,Monitoring,Overground,0.2,0.2,0.8,Room,100,Mesh,10,Directed Diffusion
143,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,10,Directed Diffusion
144,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,10,Heed
145,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,50,Directed Diffusion
146,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,50,Heed
147,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,100,Directed Diffusion
148,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,100,Heed
149,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,10,Directed Diffusion
150,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,10,Heed
151,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,50,Directed Diffusion
152,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,50,Heed
153,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,100,Directed Diffusion
154,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,100,Heed
155,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,10,Directed Diffusion
156,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,10,Heed
157,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,50,Directed Diffusion
158,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,50,Heed
159,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,100,Directed Diffusion
160,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,100,Heed
161,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,10,Heed
162,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,50,Directed Diffusion
163,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,50,Heed
164,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,100,Directed Diffusion
165,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,100,Heed
166,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,10,Directed Diffusion
167,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,10,Heed
168,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,50,Directed Diffusion
169,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,50,Heed
170,Monitoring,Overground,0.2,0.2,0.8,Room,1000,Mesh,100,Directed Diffusion
171,Monitoring,Overground,0.8,0.2,0.2,Room,1000,Star,100,Heed
172,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
173,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,10,Star,10,Heed
174,Monitoring,Overground,0.8,0.2,0.2,Apartment Complex,10,Star,10,Heed
175,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,50,Heed
176,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,10,Star,50,Heed
177,Monitoring,Overground,0.8,0.2,0.2,Apartment Complex,10,Star,50,Heed
178,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,100,Heed
179,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,10,Star,100,Heed
180,Monitoring,Overground,0.8,0.2,0.2,Apartment Complex,10,Star,100,Heed
181,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
182,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
183,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
184,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
185,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,10,Directed Diffusion
186,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
187,Monitoring,Overground,0.8,0.2,0.2,Apartment Complex,100,Star,10,Heed
188,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,50,Directed Diffusion
189,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
190,Monitoring,Overground,0.8,0.2,0.2,Apartment Complex,100,Star,50,Heed
191,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,100,Directed Diffusion
192,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
193,Monitoring,Overground,0.8,0.2,0.2,Apartment Complex,100,Star,100,Heed
194,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,10,Directed Diffusion
195,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
196,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,50,Directed Diffusion
197,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
198,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,100,Directed Diffusion
199,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
200,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,10,Directed Diffusion
201,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
202,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,50,Directed Diffusion
203,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
204,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,100,Directed Diffusion
205,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
206,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
207,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,50,Directed Diffusion
208,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
209,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,100,Directed Diffusion
210,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
211,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,10,Directed Diffusion
212,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
213,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,50,Directed Diffusion
214,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
215,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,100,Mesh,100,Directed Diffusion
216,Monitoring,Overground,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
217,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,1000,Mesh,10,Directed Diffusion
218,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,1000,Mesh,50,Directed Diffusion
219,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,1000,Mesh,100,Directed Diffusion
220,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,1000,Mesh,10,Directed Diffusion
221,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,1000,Mesh,10,Directed Diffusion
222,Monitoring,Overground,0.2,0.2,0.8,Apartment Complex,1000,Mesh,10,Directed Diffusion
223,Monitoring,Overground,0.2,0.2,0.8,City Block,100,Mesh,10,Directed Diffusion
224,Monitoring,Overground,0.2,0.2,0.8,City Block,100,Mesh,50,Directed Diffusion
225,Monitoring,Overground,0.2,0.2,0.8,City Block,100,Mesh,100,Directed Diffusion
226,Monitoring,Overground,0.2,0.2,0.8,City Block,100,Mesh,10,Directed Diffusion
227,Monitoring,Overground,0.2,0.2,0.8,City Block,100,Mesh,10,Directed Diffusion
228,Monitoring,Overground,0.2,0.2,0.8,City Block,100,Mesh,10,Directed Diffusion
229,Monitoring,Overground,0.2,0.2,0.8,City Block,1000,Mesh,10,Directed Diffusion
230,Monitoring,Overground,0.2,0.2,0.8,City Block,1000,Mesh,50,Directed Diffusion
231,Monitoring,Overground,0.2,0.2,0.8,City Block,1000,Mesh,100,Directed Diffusion
232,Monitoring,Overground,0.2,0.2,0.8,City Block,1000,Mesh,10,Directed Diffusion
233,Monitoring,Overground,0.2,0.2,0.8,City Block,1000,Mesh,10,Directed Diffusion
234,Monitoring,Overground,0.2,0.2,0.8,City Block,1000,Mesh,10,Directed Diffusion
235,Monitoring,Overground,0.2,0.2,0.8,City,100,Mesh,10,Directed Diffusion
236,Monitoring,Overground,0.2,0.2,0.8,City,100,Mesh,50,Directed Diffusion
237,Monitoring,Overground,0.2,0.2,0.8,City,100,Mesh,100,Directed Diffusion
238,Monitoring,Overground,0.2,0.2,0.8,City,100,Mesh,10,Directed Diffusion
239,Monitoring,Overground,0.2,0.2,0.8,City,100,Mesh,10,Directed Diffusion
240,Monitoring,Overground,0.2,0.2,0.8,City,100,Mesh,10,Directed Diffusion
241,Monitoring,Overground,0.2,0.2,0.8,City,1000,Mesh,10,Directed Diffusion
242,Monitoring,Overground,0.2,0.2,0.8,City,1000,Mesh,50,Directed Diffusion
243,Monitoring,Overground,0.2,0.2,0.8,City,1000,Mesh,100,Directed Diffusion
244,Monitoring,Overground,0.2,0.2,0.8,City,1000,Mesh,10,Directed Diffusion
245,Monitoring,Overground,0.2,0.2,0.8,City,1000,Mesh,10,Directed Diffusion
246,Monitoring,Overground,0.2,0.2,0.8,City,1000,Mesh,10,Directed Diffusion
247,Monitoring,Overground,0.2,0.2,0.8,Region,100,Mesh,10,Directed Diffusion
248,Monitoring,Overground,0.2,0.2,0.8,Region,100,Mesh,50,Directed Diffusion
249,Monitoring,Overground,0.2,0.2,0.8,Region,100,Mesh,100,Directed Diffusion
250,Monitoring,Overground,0.2,0.2,0.8,Region,100,Mesh,10,Directed Diffusion
251,Monitoring,Overground,0.2,0.2,0.8,Region,100,Mesh,10,Directed Diffusion
252,Monitoring,Overground,0.2,0.2,0.8,Region,100,Mesh,10,Directed Diffusion
253,Monitoring,Overground,0.2,0.2,0.8,Region,1000,Mesh,10,Directed Diffusion
254,Monitoring,Overground,0.2,0.2,0.8,Region,1000,Mesh,50,Directed Diffusion
255,Monitoring,Overground,0.2,0.2,0.8,Region,1000,Mesh,100,Directed Diffusion
256,Monitoring,Overground,0.2,0.2,0.8,Region,1000,Mesh,10,Directed Diffusion
257,Monitoring,Overground,0.2,0.2,0.8,Region,1000,Mesh,10,Directed Diffusion
258,Monitoring,Overground,0.2,0.2,0.8,Region,1000,Mesh,10,Directed Diffusion
259,Monitoring,Overground,0.2,0.2,0.8,Ocean,100,Mesh,10,Directed Diffusion
260,Monitoring,Overground,0.2,0.2,0.8,Ocean,100,Mesh,50,Directed Diffusion
261,Monitoring,Overground,0.2,0.2,0.8,Ocean,100,Mesh,100,Directed Diffusion
262,Monitoring,Overground,0.2,0.2,0.8,Ocean,100,Mesh,10,Directed Diffusion
263,Monitoring,Overground,0.2,0.2,0.8,Ocean,100,Mesh,10,Directed Diffusion
264,Monitoring,Overground,0.2,0.2,0.8,Ocean,100,Mesh,10,Directed Diffusion
265,Monitoring,Overground,0.2,0.2,0.8,Ocean,1000,Mesh,10,Directed Diffusion
266,Monitoring,Overground,0.2,0.2,0.8,Ocean,1000,Mesh,50,Directed Diffusion
267,Monitoring,Overground,0.2,0.2,0.8,Ocean,1000,Mesh,100,Directed Diffusion
268,Monitoring,Overground,0.2,0.2,0.8,Ocean,1000,Mesh,10,Directed Diffusion
269,Monitoring,Overground,0.2,0.2,0.8,Ocean,1000,Mesh,10,Directed Diffusion
270,Monitoring,Overground,0.2,0.2,0.8,Ocean,1000,Mesh,10,Directed Diffusion
271,Monitoring,Overground,0.2,0.2,0.8,Object,100,Mesh,10,Directed Diffusion
272,Monitoring,Overground,0.2,0.2,0.8,Object,100,Mesh,50,Directed Diffusion
273,Monitoring,Overground,0.2,0.2,0.8,Object,100,Mesh,100,Directed Diffusion
274,Monitoring,Overground,0.2,0.2,0.8,Object,100,Mesh,10,Directed Diffusion
275,Monitoring,Overground,0.2,0.2,0.8,Object,100,Mesh,10,Directed Diffusion
276,Monitoring,Overground,0.2,0.2,0.8,Object,100,Mesh,10,Directed Diffusion
277,Monitoring,Overground,0.2,0.2,0.8,Object,1000,Mesh,10,Directed Diffusion
278,Monitoring,Overground,0.2,0.2,0.8,Object,1000,Mesh,50,Directed Diffusion
279,Monitoring,Overground,0.2,0.2,0.8,Object,1000,Mesh,100,Directed Diffusion
280,Monitoring,Overground,0.2,0.2,0.8,Object,1000,Mesh,10,Directed Diffusion
281,Monitoring,Overground,0.2,0.2,0.8,Object,1000,Mesh,10,Directed Diffusion
282,Monitoring,Overground,0.2,0.2,0.8,Object,1000,Mesh,10,Directed Diffusion
283,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,10,Leach
284,Monitoring,Underground,0.2,0.8,0.2,Room,10,Star,10,Leach
285,Monitoring,Underground,0.8,0.2,0.2,Room,10,Star,10,Leach
286,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,50,Leach
287,Monitoring,Underground,0.2,0.8,0.2,Room,10,Star,50,Leach
288,Monitoring,Underground,0.8,0.2,0.2,Room,10,Star,50,Leach
289,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,100,Leach
290,Monitoring,Underground,0.2,0.8,0.2,Room,10,Star,100,Leach
291,Monitoring,Underground,0.8,0.2,0.2,Room,10,Star,100,Leach
292,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,10,Leach
293,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,10,Leach
294,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,10,Leach
295,Monitoring,Underground,0.2,0.2,0.8,Room,10,Star,10,Leach
296,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,10,Leach
297,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,50,Leach
298,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,100,Leach
299,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,10,Leach
300,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,10,Leach
301,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,10,Leach
302,Monitoring,Underground,0.2,0.2,0.8,Room,100,Star,10,Leach
303,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,10,Heed
304,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,50,Heed
305,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,100,Heed
306,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,10,Heed
307,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,10,Heed
308,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,10,Heed
309,Monitoring,Underground,0.8,0.2,0.2,Room,1000,Star,10,Heed
310,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
311,Monitoring,Underground,0.2,0.8,0.2,Apartment Complex,10,Star,10,Heed
312,Monitoring,Underground,0.8,0.2,0.2,Apartment Complex,10,Star,10,Heed
313,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,50,Heed
314,Monitoring,Underground,0.2,0.8,0.2,Apartment Complex,10,Star,50,Heed
315,Monitoring,Underground,0.8,0.2,0.2,Apartment Complex,10,Star,50,Heed
316,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,100,Heed
317,Monitoring,Underground,0.2,0.8,0.2,Apartment Complex,10,Star,100,Heed
318,Monitoring,Underground,0.8,0.2,0.2,Apartment Complex,10,Star,100,Heed
319,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
320,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
321,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
322,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,10,Star,10,Heed
323,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,100,Star,10,Heed
324,Monitoring,Underground,0.2,0.8,0.2,Apartment Complex,100,Star,10,Heed
325,Monitoring,Underground,0.8,0.2,0.2,Apartment Complex,100,Star,10,Heed
326,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,100,Star,50,Heed
327,Monitoring,Underground,0.2,0.8,0.2,Apartment Complex,100,Star,50,Heed
328,Monitoring,Underground,0.8,0.2,0.2,Apartment Complex,100,Star,50,Heed
329,Monitoring,Underground,0.2,0.2,0.8,Apartment Complex,100,Star,100,Heed
330,Monitoring,Underground,0.2,0.8,0.2,Apartment Complex,100,Star,100,Heed
